candidate_id,name,origin,sources,charges,n_charges,multi_charge,screen,note
sat-reconfiguration,SAT Reconfiguration,mined-B,dh,decision=PSPACE-complete,1,False,PASS-single,PSPACE; st-connectivity of solution space; distinct from SAT
modal-logic-satisfiability,Modal Logic Satisfiability (K/T/S4),mined-B,su,decision=PSPACE-complete,1,False,PASS-single,PSPACE (S5 is NP); distinct from tqbf
intuitionistic-propositional-logic,Intuitionistic Propositional Validity,mined-B,su,decision=PSPACE-complete,1,False,PASS-single,PSPACE; distinct from tautology (coNP classical)
ltl-satisfiability,LTL Satisfiability / Model Checking,mined-B,su,decision=PSPACE-complete,1,False,PASS-single,PSPACE; distinct from tqbf
dfa-intersection-emptiness,Finite Automata Intersection Nonemptiness,mined-B,su,decision=PSPACE-complete,1,False,PASS-single,PSPACE (Kozen); distinct from tqbf
nfa-universality,NFA / Regex Universality,mined-B,su,decision=PSPACE-complete,1,False,PASS-single,PSPACE (Meyer-Stockmeyer); distinct from tqbf
succinct-sat,Succinct SAT,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,NEXP (Papadimitriou-Yannakakis); circuit-encoded CNF; distinct from succinct-3-coloring
succinct-hamiltonian-cycle,Succinct Hamiltonian Cycle,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,NEXP; distinct from succinct-3-coloring and hamiltonian-cycle
generalized-chess,Generalized Chess,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,EXPTIME (Fraenkel-Lichtenstein)
generalized-checkers,Generalized Checkers,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,EXPTIME (Robson)
generalized-go,Generalized Go,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,EXPTIME (Robson)
ctl-satisfiability,CTL / mu-Calculus Satisfiability,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,EXPTIME; distinct from LTL (PSPACE)
regex-squaring-inequivalence,Regular Expressions with Squaring: Inequivalence,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,EXPSPACE (Meyer-Stockmeyer); distinct from nfa-universality (PSPACE)
presburger-arithmetic,Presburger Arithmetic,mined-B,su,decision=beyond-PSPACE,1,False,PASS-single,"2-EXP (Fischer-Rabin); FO theory of (N,+,<); distinct from short-presburger"
conformant-planning,Conformant Planning,mined-B,dh,decision=beyond-PSPACE,1,False,PASS-single,EXPSPACE (Sigma_2^p if plan-length poly-bounded); distinct from STRIPS plan-existence
lex-first-maximal-matching,Lexicographically First Maximal Matching,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,"edge-set object, distinct from lex-first-MIS (vertices)"
high-degree-subgraph,High-Degree Subgraph,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,k-HDS P-complete k>=3; distinct from densest-k-subgraph (NP)
generability,Generability (GEN),mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,groupoid closure; distinct sibling of path-system/AGAP
unit-resolution,Unit Resolution,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,general CNF unit resolution; distinct from horn-sat
datalog-evaluation,Datalog Evaluation (data complexity),mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,data complexity P-complete; DB framing distinct from horn-sat/generability
cellular-automaton-prediction,Cellular Automaton / Game of Life Prediction,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,predict cell after t steps (t unary); distinct simulation problem
chip-firing-stabilization,Sandpile / Chip-Firing Stabilization,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,Moore-Nilsson; prediction P-complete dim>=3; distinct from CA prediction
gaussian-elimination-pivoting,Gaussian Elimination with Pivoting,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,Vavasis; pivot-order object; distinct from determinant/linear-equations (NC)
plane-sweep-triangulation,Plane-Sweep Triangulation,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,natural planar-geometry P-complete; distinct from planarity/planar-*
lz78-compression,LZ78 / LZW Compression,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,dictionary-factor membership; no compression row exists
breadth-depth-search,Breadth-Depth Search Ordering,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,distinct search discipline from lex-first DFS
deadlock-detection,Deadlock Detection,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,resource-allocation deadlock; log-space-complete for P
lex-first-delta-plus-one-coloring,Lexicographically First (Delta+1)-Coloring,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,greedy color labeling; distinct object from lex-first-MIS (?)
context-free-emptiness,Context-Free Grammar Emptiness,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,grammar-productivity; distinct from context-free-membership (?)
type-inference-typability,Simple Type Inference / Typability,mined-C,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,typing object; log-space-equiv to unification but distinct problem (?)
sharp-contingency-tables,Counting Contingency Tables,mined-D,rn,decision=P;counting=#P-complete,2,True,PASS-multi,Dyer-Kannan-Mount; #P-complete even w/ 2 rows; no contingency decision row; distinct from min-cost-flow
sharp-eulerian-orientations,Counting Eulerian Orientations,mined-D,rn,decision=P;counting=#P-complete,2,True,PASS-multi,Mihail-Winkler; ice-model partition fn; distinct from sharp-eulerian-circuits (orientations != circuits)
sharp-matchings,Counting All Matchings (Monomer-Dimer),mined-D,rn,decision=P;counting=#P-complete,2,True,PASS-multi,"Jerrum; #all-matchings; NOT #max-matchings cell, NOT permanent(#perfect); planar #all-matchings #P-complete vs planar #perfect FP"
sharp-acyclic-orientations,Counting Acyclic Orientations,mined-D,rn,decision=P;counting=#P-complete,2,True,PASS-multi,Stanley 1973;
sharp-spanning-trees,Counting Spanning Trees,mined-D,rn,decision=P;counting=FP,2,True,PASS-multi,Kirchhoff matrix-tree; clean FP counting-primary; decision=connectivity; separate object like permanent despite matrix route
sharp-antichains,Counting Antichains / Order Ideals,mined-D,rn,decision=P;counting=#P-complete,2,True,PASS-multi,Provan-Ball; poset order-theory counting object; studied in own right (Dedekind lineage) (?)
